chrName	start	end	length	rank
NC_001133.9	3088	3110	22	1
NC_001133.9	3831	3948	117	1
NC_001133.9	6655	6716	61	1
NC_001133.9	8775	8861	86	1
NC_001133.9	10991	11093	102	1
NC_001133.9	28615	28731	116	2
NC_001133.9	29007	29027	20	2
NC_001133.9	29286	29407	121	2
NC_001133.9	29587	29800	213	2
NC_001133.9	29811	29928	117	2
NC_001133.9	30169	30264	95	2
NC_001133.9	30634	30733	99	2
NC_001133.9	31050	31183	133	2
NC_001133.9	31220	31322	102	2
NC_001133.9	31525	31647	122	2
NC_001133.9	33293	33433	140	2
NC_001133.9	36621	36700	79	2
NC_001133.9	39503	39518	15	2
NC_001133.9	40411	40467	56	2
NC_001133.9	42628	42646	18	2
NC_001133.9	42839	42957	118	2
NC_001133.9	43407	43416	9	2
NC_001133.9	45344	45355	11	2
NC_001133.9	45527	45620	93	2
NC_001133.9	47584	47598	14	3
NC_001133.9	48280	48288	8	3
NC_001133.9	48610	48749	139	3
NC_001133.9	49108	49119	11	3
NC_001133.9	50553	50590	37	3
NC_001133.9	51286	51317	31	3
NC_001133.9	52756	52849	93	3
NC_001133.9	53767	53783	16	3
NC_001133.9	55419	55449	30	3
NC_001133.9	55837	55890	53	3
NC_001133.9	56876	56957	81	3
NC_001133.9	63708	63780	72	3
NC_001133.9	64197	64271	74	3
NC_001133.9	65572	65691	119	3
NC_001133.9	67714	67845	131	3
NC_001133.9	68129	68144	15	3
NC_001133.9	69417	69426	9	4
NC_001133.9	69835	69845	10	4
NC_001133.9	70855	70858	3	4
NC_001133.9	70917	70973	56	4
NC_001133.9	70996	71026	30	4
NC_001133.9	71404	71526	122	4
NC_001133.9	71621	71746	125	4
NC_001133.9	72623	72634	11	4
NC_001133.9	73299	73371	72	4
NC_001133.9	73612	73734	122	4
NC_001133.9	74863	74968	105	4
NC_001133.9	74998	75039	41	4
NC_001133.9	75579	75609	30	4
NC_001133.9	76902	77019	117	4
NC_001133.9	77027	77155	128	4
NC_001133.9	77392	77507	115	4
NC_001133.9	78178	78189	11	4
NC_001133.9	79503	79554	51	4
NC_001133.9	80075	80177	102	4
NC_001133.9	82417	82717	300	4
NC_001133.9	82939	83039	100	4
NC_001133.9	83234	83279	45	4
NC_001133.9	83745	83750	5	4
NC_001133.9	85456	85466	10	4
NC_001133.9	85683	85786	103	4
NC_001133.9	86554	86675	121	4
NC_001133.9	87752	87912	160	4
NC_001133.9	88621	88635	14	4
NC_001133.9	89413	89482	69	4
NC_001133.9	89950	89994	44	4
NC_001133.9	91065	91096	31	4
NC_001133.9	92335	92460	125	5
NC_001133.9	92477	92612	135	5
NC_001133.9	95720	95822	102	5
NC_001133.9	96260	96267	7	5
NC_001133.9	99484	99494	10	5
NC_001133.9	100003	100123	120	5
NC_001133.9	100595	100721	126	5
NC_001133.9	101282	101384	102	5
NC_001133.9	101940	102058	118	5
NC_001133.9	102965	102977	12	5
NC_001133.9	103610	103741	131	5
NC_001133.9	103744	103798	54	5
NC_001133.9	104501	104627	126	5
NC_001133.9	105143	105159	16	5
NC_001133.9	112313	112323	10	5
NC_001133.9	113314	113417	103	5
NC_001133.9	113960	113968	8	5
NC_001133.9	114793	114897	104	5
NC_001133.9	115869	115992	123	6
NC_001133.9	117080	117183	103	6
NC_001133.9	117562	117581	19	6
NC_001133.9	118334	118539	205	6
NC_001133.9	120120	120187	67	6
NC_001133.9	125655	125685	30	6
NC_001133.9	130558	130672	114	6
NC_001133.9	132893	133020	127	6
NC_001133.9	133388	133481	93	6
NC_001133.9	134672	134692	20	6
NC_001133.9	137358	137378	20	6
NC_001133.9	137748	137780	32	6
NC_001133.9	138076	138137	61	7
NC_001133.9	139284	139484	200	7
NC_001133.9	142759	142827	68	7
NC_001133.9	145751	145764	13	7
NC_001133.9	146219	146376	157	7
NC_001133.9	147312	147320	8	7
NC_001133.9	148670	148810	140	7
NC_001133.9	149835	149905	70	7
NC_001133.9	151085	151209	124	7
NC_001133.9	151242	151398	156	7
NC_001133.9	152569	152671	102	7
NC_001133.9	153222	153232	10	7
NC_001133.9	153886	153983	97	7
NC_001133.9	154879	154914	35	7
NC_001133.9	156554	156655	101	7
NC_001133.9	159259	159294	35	7
NC_001133.9	168399	168433	34	8
NC_001133.9	169160	169243	83	8
NC_001133.9	170431	170463	32	8
NC_001133.9	171792	171843	51	8
NC_001133.9	172150	172266	116	8
NC_001133.9	172346	172358	12	8
NC_001133.9	172980	173125	145	8
NC_001133.9	173435	173586	151	8
NC_001133.9	174905	174918	13	8
NC_001133.9	177484	177497	13	8
NC_001133.9	179978	180027	49	8
NC_001133.9	180816	180821	5	8
NC_001133.9	183504	183630	126	8
NC_001133.9	184569	184669	100	9
NC_001133.9	189948	190013	65	9
NC_001133.9	191359	191365	6	9
NC_001133.9	193842	193981	139	9
NC_001133.9	194448	194474	26	9
NC_001133.9	195677	195685	8	9
NC_001133.9	196446	196591	145	9
NC_001133.9	197524	197625	101	9
NC_001133.9	198454	198594	140	9
NC_001133.9	198666	198791	125	9
NC_001133.9	205729	205789	60	9
NC_001133.9	215226	215427	201	10
NC_001133.9	223749	223785	36	10
NC_001133.9	228103	228231	128	10
NC_001134.8	232045	232104	59	1
NC_001134.8	240002	240083	81	1
NC_001134.8	242471	242550	79	1
NC_001134.8	244100	244117	17	1
NC_001134.8	245277	245322	45	1
NC_001134.8	246246	246259	13	1
NC_001134.8	247735	247834	99	1
NC_001134.8	248321	248354	33	1
NC_001134.8	249447	249455	8	1
NC_001134.8	250077	250184	107	1
NC_001134.8	250637	250649	12	1
NC_001134.8	251851	251949	98	1
NC_001134.8	252149	252248	99	1
NC_001134.8	255147	255266	119	1
NC_001134.8	257376	257417	41	1
NC_001134.8	257626	257665	39	1
NC_001134.8	258536	258657	121	1
NC_001134.8	259222	259288	66	1
NC_001134.8	266678	266740	62	1
NC_001134.8	268426	268439	13	1
NC_001134.8	268987	269181	194	1
NC_001134.8	270180	270191	11	1
NC_001134.8	272031	272132	101	1
NC_001134.8	272658	272761	103	1
NC_001134.8	272948	272967	19	1
NC_001134.8	272999	273005	6	1
NC_001134.8	276170	276193	23	1
NC_001134.8	276603	276731	128	1
NC_001134.8	278715	278854	139	1
NC_001134.8	280726	280736	10	1
NC_001134.8	281866	281970	104	1
NC_001134.8	287157	287271	114	1
NC_001134.8	287551	287560	9	1
NC_001134.8	290966	291083	117	1
NC_001134.8	292755	292762	7	1
NC_001134.8	292993	293004	11	1
NC_001134.8	293497	293599	102	1
NC_001134.8	294078	294092	14	1
