chrName	start	end	readsNum	baseCount	areaLen	rates
ref|NC_001133|	0	1000	0	0	1000	0.0000000
ref|NC_001133|	1000	2000	94	424	1000	0.4240000
ref|NC_001133|	2000	3000	272	612	1000	0.6120000
ref|NC_001133|	3000	4000	559	1000	1000	1.0000000
ref|NC_001133|	4000	5000	561	1000	1000	1.0000000
ref|NC_001133|	5000	6000	557	949	1000	0.9490000
ref|NC_001133|	6000	7000	379	989	1000	0.9890000
ref|NC_001133|	7000	8000	615	995	1000	0.9950000
ref|NC_001133|	8000	9000	686	1000	1000	1.0000000
ref|NC_001133|	9000	10000	447	1000	1000	1.0000000
ref|NC_001133|	10000	11000	370	992	1000	0.9920000
ref|NC_001133|	11000	12000	423	948	1000	0.9480000
ref|NC_001133|	12000	13000	300	644	1000	0.6440000
ref|NC_001133|	13000	14000	19	196	1000	0.1960000
ref|NC_001133|	14000	15000	4	11	1000	0.0110000
ref|NC_001133|	15000	16000	0	0	1000	0.0000000
ref|NC_001133|	16000	17000	0	0	1000	0.0000000
ref|NC_001133|	17000	18000	0	0	1000	0.0000000
ref|NC_001133|	18000	19000	0	0	1000	0.0000000
ref|NC_001133|	19000	20000	0	0	1000	0.0000000
ref|NC_001133|	20000	21000	0	0	1000	0.0000000
ref|NC_001133|	21000	22000	1	151	1000	0.1510000
ref|NC_001133|	22000	23000	0	0	1000	0.0000000
ref|NC_001133|	23000	24000	36	77	1000	0.0770000
ref|NC_001133|	24000	25000	214	587	1000	0.5870000
ref|NC_001133|	25000	26000	36	358	1000	0.3580000
ref|NC_001133|	26000	27000	0	0	1000	0.0000000
ref|NC_001133|	27000	28000	212	566	1000	0.5660000
ref|NC_001133|	28000	29000	343	975	1000	0.9750000
ref|NC_001133|	29000	30000	4	162	1000	0.1620000
ref|NC_001133|	30000	31000	9	38	1000	0.0380000
ref|NC_001133|	31000	32000	385	1000	1000	1.0000000
ref|NC_001133|	32000	33000	616	1000	1000	1.0000000
ref|NC_001133|	33000	34000	395	1000	1000	1.0000000
ref|NC_001133|	34000	35000	587	1000	1000	1.0000000
ref|NC_001133|	35000	36000	514	1000	1000	1.0000000
ref|NC_001133|	36000	37000	570	1000	1000	1.0000000
ref|NC_001133|	37000	38000	504	1000	1000	1.0000000
ref|NC_001133|	38000	39000	583	1000	1000	1.0000000
ref|NC_001133|	39000	40000	507	1000	1000	1.0000000
ref|NC_001133|	40000	41000	556	1000	1000	1.0000000
ref|NC_001133|	41000	42000	503	1000	1000	1.0000000
ref|NC_001133|	42000	43000	380	1000	1000	1.0000000
ref|NC_001133|	43000	44000	689	1000	1000	1.0000000
ref|NC_001133|	44000	45000	545	1000	1000	1.0000000
ref|NC_001133|	45000	46000	207	983	1000	0.9830000
ref|NC_001133|	46000	47000	590	1000	1000	1.0000000
ref|NC_001133|	47000	48000	672	1000	1000	1.0000000
ref|NC_001133|	48000	49000	554	1000	1000	1.0000000
ref|NC_001133|	49000	50000	531	1000	1000	1.0000000
ref|NC_001133|	50000	51000	488	1000	1000	1.0000000
ref|NC_001133|	51000	52000	488	1000	1000	1.0000000
ref|NC_001133|	52000	53000	586	1000	1000	1.0000000
ref|NC_001133|	53000	54000	640	1000	1000	1.0000000
ref|NC_001133|	54000	55000	504	1000	1000	1.0000000
ref|NC_001133|	55000	56000	517	1000	1000	1.0000000
ref|NC_001133|	56000	57000	540	1000	1000	1.0000000
ref|NC_001133|	57000	58000	615	1000	1000	1.0000000
ref|NC_001133|	58000	59000	587	1000	1000	1.0000000
ref|NC_001133|	59000	60000	709	1000	1000	1.0000000
ref|NC_001133|	60000	61000	693	1000	1000	1.0000000
ref|NC_001133|	61000	62000	652	1000	1000	1.0000000
ref|NC_001133|	62000	63000	621	1000	1000	1.0000000
ref|NC_001133|	63000	64000	716	1000	1000	1.0000000
ref|NC_001133|	64000	65000	735	1000	1000	1.0000000
ref|NC_001133|	65000	66000	371	934	1000	0.9340000
ref|NC_001133|	66000	67000	569	1000	1000	1.0000000
ref|NC_001133|	67000	68000	667	1000	1000	1.0000000
ref|NC_001133|	68000	69000	527	1000	1000	1.0000000
ref|NC_001133|	69000	70000	431	907	1000	0.9070000
ref|NC_001133|	70000	71000	393	1000	1000	1.0000000
ref|NC_001133|	71000	72000	403	1000	1000	1.0000000
ref|NC_001133|	72000	73000	658	1000	1000	1.0000000
ref|NC_001133|	73000	74000	467	1000	1000	1.0000000
ref|NC_001133|	74000	75000	434	1000	1000	1.0000000
ref|NC_001133|	75000	76000	467	1000	1000	1.0000000
ref|NC_001133|	76000	77000	612	1000	1000	1.0000000
