chrName	start	end	length	rank
ref|NC_001133|	0	1170	1170	1
ref|NC_001133|	1375	1736	361	1
ref|NC_001133|	1924	1969	45	1
ref|NC_001133|	2445	2833	388	1
ref|NC_001133|	5024	5075	51	1
ref|NC_001133|	6734	6745	11	1
ref|NC_001133|	7147	7152	5	1
ref|NC_001133|	10272	10274	2	1
ref|NC_001133|	10706	10712	6	1
ref|NC_001133|	11875	11927	52	1
ref|NC_001133|	12148	12268	120	1
ref|NC_001133|	12528	12764	236	1
ref|NC_001133|	13006	13810	804	1
ref|NC_001133|	14011	21588	7577	1
ref|NC_001133|	21739	23923	2184	2
ref|NC_001133|	24283	24567	284	2
ref|NC_001133|	24871	25239	368	2
ref|NC_001133|	25438	25527	89	2
ref|NC_001133|	25686	27091	1405	2
ref|NC_001133|	27474	27817	343	2
ref|NC_001133|	28003	28008	5	2
ref|NC_001133|	28524	28544	20	2
ref|NC_001133|	29007	29603	596	2
ref|NC_001133|	29758	30962	1204	2
ref|NC_001133|	45613	45630	17	2
ref|NC_001133|	65491	65557	66	3
ref|NC_001133|	69733	69826	93	4
ref|NC_001133|	110711	110716	5	5
ref|NC_001133|	140645	140646	1	7
ref|NC_001133|	141029	141062	33	7
ref|NC_001133|	152125	152127	2	7
ref|NC_001133|	156400	156452	52	7
ref|NC_001133|	160222	160335	113	7
ref|NC_001133|	160486	160564	78	7
ref|NC_001133|	160853	162381	1528	8
ref|NC_001133|	162548	162958	410	8
ref|NC_001133|	163109	163577	468	8
ref|NC_001133|	163748	164223	475	8
ref|NC_001133|	164525	165300	775	8
ref|NC_001133|	165451	166158	707	8
ref|NC_001133|	171859	171963	104	8
ref|NC_001133|	178767	178769	2	8
ref|NC_001133|	179135	179221	86	8
ref|NC_001133|	179992	180277	285	8
ref|NC_001133|	180816	181086	270	8
ref|NC_001133|	182513	182743	230	8
ref|NC_001133|	182961	183187	226	8
ref|NC_001133|	183375	183388	13	8
ref|NC_001133|	183620	183626	6	8
ref|NC_001133|	186211	186514	303	9
ref|NC_001133|	186848	187508	660	9
ref|NC_001133|	187659	187805	146	9
ref|NC_001133|	188166	188395	229	9
ref|NC_001133|	189039	189047	8	9
ref|NC_001133|	189317	189376	59	9
ref|NC_001133|	189565	189932	367	9
ref|NC_001133|	192315	192338	23	9
ref|NC_001133|	192561	192567	6	9
ref|NC_001133|	196835	196925	90	9
ref|NC_001133|	197611	198028	417	9
ref|NC_001133|	198241	198269	28	9
ref|NC_001133|	198556	198707	151	9
ref|NC_001133|	198864	200459	1595	9
ref|NC_001133|	200610	202724	2114	9
ref|NC_001133|	202894	202895	1	9
ref|NC_001133|	203094	203117	23	9
ref|NC_001133|	203605	203834	229	9
ref|NC_001133|	204020	205691	1671	9
ref|NC_001133|	205842	206591	749	9
ref|NC_001133|	207383	207421	38	10
ref|NC_001133|	207620	208193	573	10
ref|NC_001133|	208399	209204	805	10
ref|NC_001133|	209359	210626	1267	10
ref|NC_001133|	210777	211081	304	10
ref|NC_001133|	212082	212087	5	10
ref|NC_001133|	213636	213640	4	10
ref|NC_001133|	214052	214061	9	10
ref|NC_001133|	216011	216026	15	10
ref|NC_001133|	220438	220636	198	10
ref|NC_001133|	224780	224835	55	10
ref|NC_001133|	226518	226529	11	10
ref|NC_001133|	226869	227749	880	10
ref|NC_001133|	227907	228673	766	10
ref|NC_001133|	228853	230218	1365	10
ref|NC_001134|	230219	230440	221	1
ref|NC_001134|	230620	230685	65	1
ref|NC_001134|	231013	231018	5	1
ref|NC_001134|	231308	231500	192	1
ref|NC_001134|	232089	232228	139	1
ref|NC_001134|	232757	232860	103	1
ref|NC_001134|	233121	233171	50	1
ref|NC_001134|	233513	233531	18	1
ref|NC_001134|	233826	233913	87	1
ref|NC_001134|	235653	235704	51	1
ref|NC_001134|	236074	236598	524	1
ref|NC_001134|	236795	237000	205	1
ref|NC_001134|	237341	237422	81	1
ref|NC_001134|	237620	237654	34	1
ref|NC_001134|	238503	238525	22	1
ref|NC_001134|	258433	258500	67	1
ref|NC_001134|	259864	259880	16	1
ref|NC_001134|	260031	260232	201	1
ref|NC_001134|	260429	260431	2	1
ref|NC_001134|	260684	260755	71	1
ref|NC_001134|	260998	261012	14	1
ref|NC_001134|	261692	261695	3	1
ref|NC_001134|	263296	263611	315	1
ref|NC_001134|	263847	263860	13	1
ref|NC_001134|	264098	264100	2	1
ref|NC_001134|	264497	264521	24	1
ref|NC_001134|	264721	264836	115	1
ref|NC_001134|	265322	265325	3	1
ref|NC_001134|	265581	266185	604	1
ref|NC_001134|	266336	266548	212	1
ref|NC_001134|	297241	297245	4	1
ref|NC_001134|	305259	305313	54	1
ref|NC_001134|	318685	318697	12	2
ref|NC_001134|	352643	352644	1	2
ref|NC_001134|	352830	352857	27	2
ref|NC_001134|	366570	366684	114	2
ref|NC_001134|	367856	367879	23	2
ref|NC_001134|	371081	371177	96	2
ref|NC_001134|	396145	396261	116	3
ref|NC_001134|	397489	397602	113	3
ref|NC_001134|	400158	400199	41	3
ref|NC_001134|	404949	405093	144	3
ref|NC_001134|	414493	414503	10	3
ref|NC_001134|	421306	421526	220	3
ref|NC_001134|	421918	421993	75	3
ref|NC_001134|	422464	422495	31	3
ref|NC_001134|	423770	423773	3	3
ref|NC_001134|	427789	427926	137	3
ref|NC_001134|	442615	442701	86	3
ref|NC_001134|	451044	451080	36	3
ref|NC_001134|	451254	451275	21	3
ref|NC_001134|	451492	451928	436	3
ref|NC_001134|	452230	452542	312	3
ref|NC_001134|	452724	452935	211	3
ref|NC_001134|	453192	453482	290	3
ref|NC_001134|	453851	454013	162	3
ref|NC_001134|	454164	455129	965	3
ref|NC_001134|	455280	457169	1889	3
ref|NC_001134|	457374	457375	1	3
ref|NC_001134|	466633	466657	24	3
ref|NC_001134|	468405	468414	9	3
ref|NC_001134|	468597	468599	2	3
ref|NC_001134|	478964	478976	12	4
ref|NC_001134|	482779	482791	12	4
ref|NC_001134|	489795	490066	271	4
ref|NC_001134|	490217	491427	1210	4
ref|NC_001134|	491600	491821	221	4
ref|NC_001134|	491972	492379	407	4
ref|NC_001134|	492542	495706	3164	4
ref|NC_001134|	504458	504500	42	4
ref|NC_001134|	557173	557181	8	5
ref|NC_001134|	557533	557546	13	5
ref|NC_001134|	563347	563477	130	5
ref|NC_001134|	574637	574723	86	5
ref|NC_001134|	581302	581313	11	5
ref|NC_001134|	593333	593345	12	5
ref|NC_001134|	593731	593737	6	5
ref|NC_001134|	593970	594064	94	5
ref|NC_001134|	603966	604068	102	5
ref|NC_001134|	613148	613393	245	5
ref|NC_001134|	619647	619808	161	5
ref|NC_001134|	621701	621706	5	5
ref|NC_001134|	625567	625596	29	5
ref|NC_001134|	636007	636037	30	5
ref|NC_001134|	637762	637785	23	6
ref|NC_001134|	645941	645980	39	6
