chrName	start	end	length	rank
NC_001133.9	0	1178	1178	1
NC_001133.9	1376	1926	550	1
NC_001133.9	2167	2249	82	1
NC_001133.9	2445	2564	119	1
NC_001133.9	2717	2833	116	1
NC_001133.9	3088	3511	423	1
NC_001133.9	3736	4158	422	1
NC_001133.9	4515	4653	138	1
NC_001133.9	5027	5159	132	1
NC_001133.9	5619	6255	636	1
NC_001133.9	6619	7247	628	1
NC_001133.9	7441	7504	63	1
NC_001133.9	7666	8018	352	1
NC_001133.9	8445	8460	15	1
NC_001133.9	8618	8861	243	1
NC_001133.9	9045	9067	22	1
NC_001133.9	9225	9251	26	1
NC_001133.9	9897	10089	192	1
NC_001133.9	10273	11411	1138	1
NC_001133.9	11843	11925	82	1
NC_001133.9	12175	12253	78	1
NC_001133.9	12552	13810	1258	1
NC_001133.9	14011	15003	992	1
NC_001133.9	15155	24099	8944	2
NC_001133.9	24273	24368	95	2
NC_001133.9	24519	24712	193	2
NC_001133.9	24944	25527	583	2
NC_001133.9	25678	27090	1412	2
NC_001133.9	27479	27817	338	2
NC_001133.9	27986	28325	339	2
NC_001133.9	28515	28825	310	2
NC_001133.9	29007	31647	2640	2
NC_001133.9	31831	31843	12	2
NC_001133.9	32776	33049	273	2
NC_001133.9	33251	33433	182	2
NC_001133.9	33707	33716	9	2
NC_001133.9	34611	34798	187	2
NC_001133.9	34989	35156	167	2
NC_001133.9	36308	36700	392	2
NC_001133.9	36960	37356	396	2
NC_001133.9	38103	38167	64	2
NC_001133.9	39057	39119	62	2
NC_001133.9	39503	39983	480	2
NC_001133.9	40389	40467	78	2
NC_001133.9	41223	41231	8	2
NC_001133.9	41456	41468	12	2
NC_001133.9	41624	42346	722	2
NC_001133.9	42628	42987	359	2
NC_001133.9	43407	43416	9	2
NC_001133.9	43758	43820	62	2
NC_001133.9	44125	44137	12	2
NC_001133.9	45259	45355	96	2
NC_001133.9	45527	45762	235	2
NC_001133.9	46932	47070	138	3
NC_001133.9	47580	47598	18	3
NC_001133.9	47806	47886	80	3
NC_001133.9	48280	48294	14	3
NC_001133.9	48604	48749	145	3
NC_001133.9	49108	49119	11	3
NC_001133.9	49331	49389	58	3
NC_001133.9	49650	49665	15	3
NC_001133.9	49882	49992	110	3
NC_001133.9	50553	50590	37	3
NC_001133.9	50806	50816	10	3
NC_001133.9	51286	51317	31	3
NC_001133.9	51705	51825	120	3
NC_001133.9	52004	52017	13	3
NC_001133.9	52720	52849	129	3
NC_001133.9	53767	53783	16	3
NC_001133.9	54094	54174	80	3
NC_001133.9	54345	54450	105	3
NC_001133.9	54820	54974	154	3
NC_001133.9	55302	55449	147	3
NC_001133.9	55626	55890	264	3
NC_001133.9	56270	56284	14	3
NC_001133.9	56497	56957	460	3
NC_001133.9	57432	57441	9	3
NC_001133.9	57881	57918	37	3
NC_001133.9	59476	59573	97	3
NC_001133.9	59799	59806	7	3
NC_001133.9	60158	60168	10	3
NC_001133.9	62610	62624	14	3
NC_001133.9	63708	63928	220	3
NC_001133.9	64197	64382	185	3
NC_001133.9	64624	64795	171	3
NC_001133.9	65090	65100	10	3
NC_001133.9	65436	66147	711	3
NC_001133.9	66435	66454	19	3
NC_001133.9	66923	66930	7	3
NC_001133.9	67598	68144	546	3
NC_001133.9	68614	68638	24	3
NC_001133.9	69417	69432	15	4
NC_001133.9	69634	69845	211	4
NC_001133.9	70172	70202	30	4
NC_001133.9	70369	70647	278	4
NC_001133.9	70855	71129	274	4
NC_001133.9	71369	71772	403	4
NC_001133.9	72623	72634	11	4
NC_001133.9	73286	73371	85	4
NC_001133.9	73612	73755	143	4
NC_001133.9	73920	73935	15	4
NC_001133.9	74131	74145	14	4
NC_001133.9	74352	74507	155	4
NC_001133.9	74863	75039	176	4
NC_001133.9	75446	75609	163	4
NC_001133.9	76126	76139	13	4
NC_001133.9	76307	76329	22	4
NC_001133.9	76632	77628	996	4
NC_001133.9	78178	78189	11	4
NC_001133.9	78514	78618	104	4
NC_001133.9	79503	79626	123	4
NC_001133.9	80075	80264	189	4
NC_001133.9	80671	80678	7	4
NC_001133.9	80858	80866	8	4
NC_001133.9	81344	81527	183	4
NC_001133.9	81830	81844	14	4
NC_001133.9	82417	82744	327	4
NC_001133.9	82933	83279	346	4
NC_001133.9	83554	83561	7	4
NC_001133.9	83745	83754	9	4
NC_001133.9	84572	84715	143	4
NC_001133.9	85456	85466	10	4
NC_001133.9	85681	85802	121	4
NC_001133.9	85967	85979	12	4
NC_001133.9	86536	86675	139	4
NC_001133.9	86841	87015	174	4
NC_001133.9	87236	87243	7	4
NC_001133.9	87670	88018	348	4
NC_001133.9	88363	88427	64	4
NC_001133.9	88621	88635	14	4
NC_001133.9	88891	88906	15	4
NC_001133.9	89209	89250	41	4
NC_001133.9	89413	89501	88	4
NC_001133.9	89672	89685	13	4
NC_001133.9	89950	89994	44	4
NC_001133.9	90257	90536	279	4
NC_001133.9	90851	91096	245	4
NC_001133.9	91262	91274	12	4
NC_001133.9	91456	91462	6	4
NC_001133.9	91985	92115	130	5
NC_001133.9	92291	92784	493	5
NC_001133.9	93851	93875	24	5
NC_001133.9	94057	94180	123	5
NC_001133.9	94367	94529	162	5
NC_001133.9	94827	94832	5	5
NC_001133.9	95260	95267	7	5
NC_001133.9	95565	96065	500	5
NC_001133.9	96260	96268	8	5
NC_001133.9	96710	96877	167	5
NC_001133.9	97861	97949	88	5
NC_001133.9	98306	98321	15	5
NC_001133.9	98606	98667	61	5
NC_001133.9	98835	98843	8	5
NC_001133.9	99003	99038	35	5
NC_001133.9	99204	99214	10	5
NC_001133.9	99484	99494	10	5
NC_001133.9	100003	100123	120	5
NC_001133.9	100342	100354	12	5
NC_001133.9	100514	100721	207	5
NC_001133.9	101196	101507	311	5
NC_001133.9	101940	102060	120	5
NC_001133.9	102525	102538	13	5
NC_001133.9	102748	102762	14	5
NC_001133.9	102965	102977	12	5
NC_001133.9	103389	103399	10	5
NC_001133.9	103584	103798	214	5
NC_001133.9	104473	104713	240	5
NC_001133.9	104897	104915	18	5
NC_001133.9	105143	105159	16	5
NC_001133.9	105406	105418	12	5
NC_001133.9	105698	105707	9	5
NC_001133.9	106007	106240	233	5
NC_001133.9	108643	108760	117	5
NC_001133.9	110105	110223	118	5
NC_001133.9	110518	110741	223	5
NC_001133.9	111108	111116	8	5
NC_001133.9	111548	111559	11	5
NC_001133.9	112313	112323	10	5
NC_001133.9	113051	113470	419	5
NC_001133.9	113960	113968	8	5
NC_001133.9	114721	114897	176	5
NC_001133.9	115537	115682	145	6
NC_001133.9	115861	116514	653	6
NC_001133.9	116742	116766	24	6
NC_001133.9	116990	117183	193	6
NC_001133.9	117392	117581	189	6
NC_001133.9	117778	117899	121	6
NC_001133.9	118211	118566	355	6
NC_001133.9	118854	118899	45	6
NC_001133.9	119351	119368	17	6
NC_001133.9	119543	119947	404	6
NC_001133.9	120120	120426	306	6
NC_001133.9	121177	121185	8	6
NC_001133.9	121353	121501	148	6
NC_001133.9	121742	121879	137	6
NC_001133.9	122658	122666	8	6
NC_001133.9	122859	122961	102	6
NC_001133.9	123222	123344	122	6
NC_001133.9	123602	123739	137	6
NC_001133.9	123962	124598	636	6
NC_001133.9	125092	125392	300	6
NC_001133.9	125655	125685	30	6
NC_001133.9	126422	126430	8	6
NC_001133.9	126772	126896	124	6
NC_001133.9	128101	128209	108	6
NC_001133.9	128720	128731	11	6
NC_001133.9	129103	129172	69	6
NC_001133.9	129380	129389	9	6
NC_001133.9	129573	129739	166	6
NC_001133.9	130514	130799	285	6
NC_001133.9	132039	132117	78	6
NC_001133.9	132297	132321	24	6
NC_001133.9	132759	133044	285	6
NC_001133.9	133388	133489	101	6
NC_001133.9	133698	133717	19	6
NC_001133.9	133903	133932	29	6
NC_001133.9	134134	134466	332	6
NC_001133.9	134672	134692	20	6
NC_001133.9	135247	135259	12	6
NC_001133.9	136185	136197	12	6
NC_001133.9	136398	136453	55	6
NC_001133.9	136712	136765	53	6
NC_001133.9	137358	137378	20	6
NC_001133.9	137556	137780	224	6
NC_001133.9	137969	138137	168	7
NC_001133.9	138468	138705	237	7
NC_001133.9	138856	139516	660	7
NC_001133.9	139845	139861	16	7
NC_001133.9	140646	140700	54	7
NC_001133.9	141029	141062	33	7
NC_001133.9	141452	141521	69	7
NC_001133.9	141689	141703	14	7
NC_001133.9	141872	142116	244	7
NC_001133.9	142289	142573	284	7
NC_001133.9	142759	143594	835	7
NC_001133.9	144413	144429	16	7
NC_001133.9	144669	144682	13	7
NC_001133.9	145161	145175	14	7
NC_001133.9	145510	145535	25	7
NC_001133.9	145751	145764	13	7
NC_001133.9	146219	146500	281	7
NC_001133.9	147312	147320	8	7
NC_001133.9	148172	148179	7	7
NC_001133.9	148415	148810	395	7
NC_001133.9	149084	149226	142	7
NC_001133.9	149639	149653	14	7
NC_001133.9	149835	149935	100	7
NC_001133.9	150417	150641	224	7
NC_001133.9	150907	151627	720	7
NC_001133.9	151865	152156	291	7
NC_001133.9	152569	152671	102	7
NC_001133.9	152884	152903	19	7
NC_001133.9	153222	153232	10	7
NC_001133.9	153676	154095	419	7
NC_001133.9	154815	154914	99	7
